Lon	Lat	WDP
14.75	64.75	0.016835658
15.25	64.75	0.012678727
15.75	64.75	0.010719432
16.25	64.75	0.010388671
16.75	64.75	0.010724578
17.25	64.75	0.01073818
17.75	64.75	0.006900654
18.25	64.75	0.004746279
18.75	64.75	0.004227165
19.25	64.75	0.004208717
19.75	64.75	0.00439805
20.25	64.75	0.004451128
20.75	64.75	0.004777363
21.25	64.75	0.008799307
24.25	64.75	0.007655353
24.75	64.75	0.008899403
25.25	64.75	0.005683466
25.75	64.75	0.005496413
26.25	64.75	0.00586422
26.75	64.75	0.007846598
27.25	64.75	0.006424011
27.75	64.75	0.005362737
28.25	64.75	0.005633659
28.75	64.75	0.007066669
29.25	64.75	0.008470473
29.75	64.75	0.009207864
9.75	64.25	0.025269625
10.25	64.25	0.026685103
10.75	64.25	0.020613888
11.25	64.25	0.020831309
11.75	64.25	0.024669582
12.25	64.25	0.026350098
12.75	64.25	0.026625202
13.25	64.25	0.02589306
13.75	64.25	0.022541604
14.25	64.25	0.017259789
14.75	64.25	0.011811075
15.25	64.25	0.009497461
15.75	64.25	0.010757547
16.25	64.25	0.011900492
16.75	64.25	0.012817606
17.25	64.25	0.01295015
17.75	64.25	0.012136868
18.25	64.25	0.009555918
18.75	64.25	0.006902358
19.25	64.25	0.006145016
19.75	64.25	0.006829812
20.25	64.25	0.009177311
20.75	64.25	0.013882114
21.25	64.25	0.015285647
23.75	64.25	0.006314374
24.25	64.25	0.006355981
24.75	64.25	0.00706936
25.25	64.25	0.007738214
25.75	64.25	0.006209955
26.25	64.25	0.005406663
26.75	64.25	0.00707872
27.25	64.25	0.00704618
27.75	64.25	0.00591712
28.25	64.25	0.005912447
28.75	64.25	0.006647627
29.25	64.25	0.007615517
29.75	64.25	0.008149695
30.25	64.25	0.008214819
8.25	63.75	0.008487249
9.25	63.75	0.019623187
9.75	63.75	0.023373675
10.25	63.75	0.021322529
10.75	63.75	0.018832023
11.25	63.75	0.02417211
11.75	63.75	0.026615332
12.25	63.75	0.025184195
12.75	63.75	0.022994009
13.25	63.75	0.02016275
13.75	63.75	0.016531612
14.25	63.75	0.01356857
14.75	63.75	0.010747683
15.25	63.75	0.008305503
15.75	63.75	0.007071986
16.25	63.75	0.006428629
16.75	63.75	0.007205603
17.25	63.75	0.00831581
17.75	63.75	0.009077846
18.25	63.75	0.009020515
18.75	63.75	0.009466102
19.25	63.75	0.011990168
19.75	63.75	0.016497722
20.25	63.75	0.019984788
20.75	63.75	0.019695335
22.75	63.75	0.010898394
23.25	63.75	0.008851227
23.75	63.75	0.009596748
24.25	63.75	0.010545052
24.75	63.75	0.010037826
25.25	63.75	0.009977495
25.75	63.75	0.009726102
26.25	63.75	0.009170242
26.75	63.75	0.008814925
27.25	63.75	0.008855942
27.75	63.75	0.008550312
28.25	63.75	0.008351084
28.75	63.75	0.008199702
29.25	63.75	0.008178288
29.75	63.75	0.008362904
30.25	63.75	0.00853923
30.75	63.75	0.009000058
6.75	63.25	0.010645485
7.75	63.25	0.01619386
8.25	63.25	0.018819974
8.75	63.25	0.022450779
9.25	63.25	0.02274355
9.75	63.25	0.02136864
10.25	63.25	0.023510495
