Lon	Lat	year	NATURAL	FOREST	BARREN
 -6.75	57.25	2010	0.0000000	0.0000000	1.0000000
 -6.75	57.75	2010	0.0000000	0.0347326	0.9652674
 -6.75	58.25	2010	0.0000000	0.0087730	0.9912270
 -6.25	36.25	2010	0.0000000	0.0027714	0.9972286
 -6.25	36.75	2010	0.0000000	0.0088801	0.9911199
 -6.25	37.25	2010	0.0000000	0.0479273	0.9520727
 -6.25	37.75	2010	0.0000000	0.4146035	0.5853965
 -6.25	38.25	2010	0.0000000	0.1185309	0.8814691
 -6.25	38.75	2010	0.0000000	0.0484451	0.9515549
 -6.25	39.25	2010	0.0000000	0.0889503	0.9110497
 -6.25	39.75	2010	0.0000000	0.1213495	0.8786505
 -6.25	40.25	2010	0.0000000	0.3166755	0.6833245
 -6.25	40.75	2010	0.0000000	0.2860408	0.7139592
 -6.25	41.25	2010	0.0000000	0.2482050	0.7517950
 -6.25	41.75	2010	0.0000000	0.4298962	0.5701038
 -6.25	42.25	2010	0.0000000	0.5637217	0.4362783
 -6.25	42.75	2010	0.0000000	0.5602244	0.4397756
 -6.25	43.25	2010	0.0000000	0.3424782	0.6575218
 -6.25	43.75	2010	0.0000000	0.1024060	0.8975940
 -6.25	52.25	2010	0.0000000	0.0037612	0.9962388
 -6.25	52.75	2010	0.0000000	0.1642759	0.8357241
 -6.25	53.25	2010	0.0000000	0.1132785	0.8867215
 -6.25	53.75	2010	0.0000000	0.0040480	0.9959520
 -6.25	54.25	2010	0.0000000	0.0364848	0.9635152
 -6.25	54.75	2010	0.0000000	0.0190831	0.9809169
 -6.25	55.25	2010	0.0000000	0.0785392	0.9214608
 -6.25	55.75	2010	0.0000000	0.0287436	0.9712564
 -6.25	56.75	2010	0.0000000	0.0888966	0.9111034
 -6.25	57.25	2010	0.0000000	0.1375583	0.8624417
 -6.25	57.75	2010	0.0000000	0.0256027	0.9743973
 -6.25	58.25	2010	0.0000000	0.0000000	1.0000000
 -5.75	35.75	2010	0.0000000	0.0000000	1.0000000
 -5.75	36.25	2010	0.0000000	0.2918682	0.7081318
 -5.75	36.75	2010	0.0000000	0.1757524	0.8242476
 -5.75	37.25	2010	0.0000000	0.0058111	0.9941889
 -5.75	37.75	2010	0.0000000	0.2488053	0.7511947
 -5.75	38.25	2010	0.0000000	0.1950546	0.8049454
 -5.75	38.75	2010	0.0000000	0.1070951	0.8929049
 -5.75	39.25	2010	0.0000000	0.0956415	0.9043585
 -5.75	39.75	2010	0.0000000	0.1753185	0.8246815
 -5.75	40.25	2010	0.0000000	0.3370996	0.6629004
 -5.75	40.75	2010	0.0000000	0.1246150	0.8753850
 -5.75	41.25	2010	0.0000000	0.1036584	0.8963416
 -5.75	41.75	2010	0.0000000	0.0922548	0.9077452
 -5.75	42.25	2010	0.0000000	0.0650450	0.9349550
 -5.75	42.75	2010	0.0000000	0.2876736	0.7123264
 -5.75	43.25	2010	0.0000000	0.3704469	0.6295531
 -5.75	43.75	2010	0.0000000	0.0536231	0.9463769
 -5.75	50.25	2010	0.0000000	0.0039808	0.9960192
 -5.75	54.25	2010	0.0000000	0.0079142	0.9920858
 -5.75	54.75	2010	0.0000000	0.0247097	0.9752903
 -5.75	55.25	2010	0.0000000	0.0284132	0.9715868
 -5.75	55.75	2010	0.0000000	0.1460224	0.8539776
 -5.75	56.25	2010	0.0000000	0.1431771	0.8568229
 -5.75	56.75	2010	0.0000000	0.1487888	0.8512112
 -5.75	57.25	2010	0.0000000	0.1114984	0.8885016
 -5.75	57.75	2010	0.0000000	0.0315588	0.9684412
 -5.25	36.25	2010	0.0000000	0.1363144	0.8636856
 -5.25	36.75	2010	0.0000000	0.4238354	0.5761646
 -5.25	37.25	2010	0.0000000	0.0976957	0.9023043
 -5.25	37.75	2010	0.0000000	0.2791687	0.7208313
 -5.25	38.25	2010	0.0000000	0.3499921	0.6500079
 -5.25	38.75	2010	0.0000000	0.0446886	0.9553114
 -5.25	39.25	2010	0.0000000	0.2040012	0.7959988
 -5.25	39.75	2010	0.0000000	0.2258137	0.7741863
 -5.25	40.25	2010	0.0000000	0.2165841	0.7834159
 -5.25	40.75	2010	0.0000000	0.1143816	0.8856184
 -5.25	41.25	2010	0.0000000	0.0200062	0.9799938
 -5.25	41.75	2010	0.0000000	0.0430658	0.9569342
 -5.25	42.25	2010	0.0000000	0.0165601	0.9834399
 -5.25	42.75	2010	0.0000000	0.4506990	0.5493010
 -5.25	43.25	2010	0.0000000	0.5127503	0.4872497
 -5.25	43.75	2010	0.0000000	0.0264609	0.9735391
 -5.25	49.75	2010	0.0000000	0.0014630	0.9985370
 -5.25	50.25	2010	0.0000000	0.0268485	0.9731515
 -5.25	50.75	2010	0.0000000	0.0007034	0.9992966
 -5.25	51.75	2010	0.0000000	0.0000000	1.0000000
 -5.25	52.25	2010	0.0000000	0.0000000	1.0000000
 -5.25	55.25	2010	0.0000000	0.0354999	0.9645001
 -5.25	55.75	2010	0.0000000	0.2292445	0.7707555
 -5.25	56.25	2010	0.0000000	0.4618758	0.5381242
 -5.25	56.75	2010	0.0000000	0.3516291	0.6483709
 -5.25	57.25	2010	0.0000000	0.2265757	0.7734243
 -5.25	57.75	2010	0.0000000	0.1072685	0.8927315
 -5.25	58.25	2010	0.0000000	0.0200268	0.9799732
 -5.25	58.75	2010	0.0000000	0.0000000	1.0000000
 -4.75	36.25	2010	0.0000000	0.0078900	0.9921100
 -4.75	36.75	2010	0.0000000	0.1598086	0.8401914
 -4.75	37.25	2010	0.0000000	0.0384930	0.9615070
 -4.75	37.75	2010	0.0000000	0.1323860	0.8676140
 -4.75	38.25	2010	0.0000000	0.2388744	0.7611256
 -4.75	38.75	2010	0.0000000	0.0887501	0.9112499
 -4.75	39.25	2010	0.0000000	0.4031052	0.5968948
 -4.75	39.75	2010	0.0000000	0.2887556	0.7112444
 -4.75	40.25	2010	0.0000000	0.2876217	0.7123783
 -4.75	40.75	2010	0.0000000	0.1472253	0.8527747
 -4.75	41.25	2010	0.0000000	0.1631898	0.8368102
 -4.75	41.75	2010	0.0000000	0.1323036	0.8676964
 -4.75	42.25	2010	0.0000000	0.0571883	0.9428117
 -4.75	42.75	2010	0.0000000	0.4667803	0.5332197
 -4.75	43.25	2010	0.0000000	0.3473121	0.6526879
 -4.75	48.25	2010	0.0000000	0.0186998	0.9813002
 -4.75	48.75	2010	0.0000000	0.0035374	0.9964626
 -4.75	50.25	2010	0.0000000	0.0625138	0.9374862
 -4.75	50.75	2010	0.0000000	0.0433048	0.9566952
 -4.75	51.75	2010	0.0000000	0.0342452	0.9657548
 -4.75	52.25	2010	0.0000000	0.0073567	0.9926433
 -4.75	53.25	2010	0.0000000	0.0000000	1.0000000
 -4.75	54.75	2010	0.0000000	0.0949552	0.9050448
 -4.75	55.25	2010	0.0000000	0.3300261	0.6699739
 -4.75	55.75	2010	0.0000000	0.0621939	0.9378061
